,ID,PromoName,ProductID,Discount_rate,DateStart,DateEnd,PlatformID
29,93847696,Issue.,116296537G41,25.68,2024-10-21,2024-11-08,
30,41851025,Energy part.,276610649G41,19.61,2024-10-10,2024-10-17,
31,82942522,Call high.,217426433G41,28.26,2025-01-15,2025-02-09,
32,91869803,Quickly newspaper until.,276008215G41,22.9,2024-11-03,2024-11-23,
33,76722254,Sell hope.,177260090G39,20.68,2024-10-09,2024-10-19,
34,41578301,This.,195528473G40,35.1,2024-05-15,2024-06-05,
35,64235017,Song.,158868257G39,29.63,2025-02-18,2025-03-19,
36,56575075,Often issue.,59207075G40,12.74,2024-08-18,2024-09-10,
37,44136276,Type message.,42685495G41,30.52,2024-05-26,2024-06-07,
38,69241940,Region.,195528473G40,38.33,2025-01-21,2025-02-07,
39,72688670,He.,38160273G40,10.84,2024-07-24,2024-08-21,
40,68462024,Statement by look.,270306516G40,11.21,2024-10-12,2024-11-01,
41,15371029,Stop charge.,276183351G41,9.7,2025-01-22,2025-02-03,
42,92638418,Cell hospital relate.,199268671G41,14.45,2024-09-25,2024-10-02,
43,33736982,Close class sea.,21060256G41,14.99,2024-05-02,2024-05-09,
44,54475955,Attention concern.,217564040G40,47.39,2024-09-17,2024-09-26,
45,81647871,Bit.,251396215G39,24.02,2024-03-06,2024-03-22,
46,83431764,Seven which.,276838257G40,6.21,2024-09-29,2024-10-15,
47,39294816,Themselves real bed box.,274256921G39,16.13,2024-09-12,2024-09-22,
48,33541555,Law cover customer position.,274838774G41,18.17,2025-01-09,2025-01-29,
49,69132511,Note safe.,5517433G39,12.52,2024-06-22,2024-07-10,
50,59495985,Edge dark begin.,274347242G39,47.86,2024-04-11,2024-04-19,
51,83082614,Probably meet.,276025651G39,21.13,2024-08-29,2024-09-27,
52,70534041,Read just soon.,274256921G39,36.84,2024-10-23,2024-11-21,
53,83915600,In.,195528889G40,29.38,2025-01-09,2025-02-05,
54,98382714,Dog.,112827241G41,12.66,2024-10-08,2024-11-03,
55,81315773,Amount certainly.,277280170G41,41.66,2024-07-02,2024-07-14,
56,74849016,Church successful a.,273637119G39,24.34,2024-05-20,2024-06-01,
57,69877305,Past.,273056402G41,48.33,2024-10-15,2024-11-12,
58,34143492,Season quality.,8005362G41,10.63,2024-10-14,2024-11-05,
59,22311039,Media.,116298169G39,10.79,2024-06-18,2024-07-05,
60,31992842,Idea approach thank.,249935663G40,37.03,2024-10-17,2024-11-09,
61,25267315,Sort future consumer.,171202909G40,23.2,2024-07-29,2024-08-08,
62,32185273,College assume single.,277275542G40,22.8,2024-08-06,2024-08-24,
63,89590312,Three sister.,42685827G39,41.93,2024-05-31,2024-06-23,
64,96529725,Employee who entire.,199268671G41,49.8,2024-09-18,2024-10-14,
65,27557684,Notice.,273056815G41,39.08,2024-10-30,2024-11-12,
66,50612610,Hundred become line.,210138611G39,27.13,2024-11-17,2024-12-13,
67,55128723,Certainly.,277306138G40,32.06,2024-11-11,2024-11-18,
68,86594995,Understand store.,277287666G40,27.8,2024-06-05,2024-06-23,
69,42149989,Every dog way.,274457345G41,30.67,2024-09-10,2024-09-21,
70,98340613,Whole affect stage.,197295730G39,16.46,2024-08-08,2024-09-04,
71,55228226,Animal how report.,273056749G41,26.33,2024-05-18,2024-06-05,
72,98660763,Congress play investment.,209125761G41,33.36,2024-08-07,2024-08-18,
73,33226705,Job century note.,276006462G40,48.45,2024-10-27,2024-11-19,
74,71178808,Source bank.,171202909G40,40.78,2024-06-12,2024-07-02,
75,76166490,Knowledge need company.,275911002G41,24.4,2024-04-01,2024-04-25,
76,42013594,Lose always modern.,273804988G40,21.27,2024-09-29,2024-10-20,
77,93666913,Ok difference.,203478154G39,45.91,2024-05-22,2024-06-05,
78,46748499,Similar page.,76125664G39,20.13,2024-06-30,2024-07-26,
79,92633261,Option many human.,274838759G40,11.42,2024-06-01,2024-06-18,
80,44321704,Stand force still.,182849278G39,5.46,2024-11-30,2024-12-08,
81,58153197,Party win.,66566234G40,12.91,2024-05-24,2024-06-01,
82,75449936,Water speak.,273620894G39,46.67,2024-06-05,2024-06-25,
83,34867930,Alone good member still.,208885993G40,11.8,2024-05-05,2024-05-28,
84,67427002,Why big listen.,273366771G39,28.07,2025-01-05,2025-01-20,
85,53128619,Give matter blood.,274256927G40,30.49,2024-12-15,2025-01-10,
86,53283202,Party main.,263093240G39,44.99,2024-09-12,2024-10-07,
87,94578180,Part participant member.,273685743G41,32.54,2024-07-19,2024-08-08,
88,71149615,First television.,273679403G40,14.57,2024-10-29,2024-11-22,
89,87311209,Successful view yeah nearly.,273366771G39,39.55,2024-09-30,2024-10-20,
90,25938268,Throughout read many.,217759811G41,25.64,2024-06-07,2024-06-28,
91,41203183,Child thing.,23611674G39,37.39,2024-12-14,2025-01-04,
92,66612581,Author personal story.,36926828G40,27.99,2024-06-06,2024-06-23,
93,20533985,Address put different.,189289457G41,6.04,2025-01-23,2025-02-20,
94,28354224,Plan owner long.,112826952G39,23.74,2024-05-31,2024-06-12,
95,48078534,Condition measure eat.,206952681G41,22.88,2024-07-08,2024-08-07,
96,50501629,Set history buy.,21060817G40,19.33,2024-04-23,2024-05-23,
97,70386213,Form box.,276113601G39,28.63,2024-06-29,2024-07-20,
98,57941842,Similar million.,274046223G39,48.34,2025-01-31,2025-02-22,
99,28910250,Economy address.,57734293G40,41.83,2024-05-16,2024-05-25,
