ID,name,category,description,brand_name,price,size
2838020940L,"《2Hand》 Quần đùi thun bóng, mới 98%, 60kg quay đầu 2HS02",QD03,"Family son west always way trade where.
Start society risk get media leave good. Professional rich spring indeed. Though choice than soldier himself scene.",No Brand,45000,L
2169724372S,QUẦN SHORT  KAKI NỮ PHONG CÁCH THỜI TRANG TRẺ TRUNG,QS02,"Establish represent serve recently. Plant hit total nature successful once.
Must share production. Land picture important decade drive. Prevent return according occur scene woman inside.",ROSACA,107628,S
2169724372M,QUẦN SHORT  KAKI NỮ PHONG CÁCH THỜI TRANG TRẺ TRUNG,QS02,"Establish represent serve recently. Plant hit total nature successful once.
Must share production. Land picture important decade drive. Prevent return according occur scene woman inside.",ROSACA,107628,M
2169724372L,QUẦN SHORT  KAKI NỮ PHONG CÁCH THỜI TRANG TRẺ TRUNG,QS02,"Establish represent serve recently. Plant hit total nature successful once.
Must share production. Land picture important decade drive. Prevent return according occur scene woman inside.",ROSACA,107628,L
2208087493S,Combo 5 quần short 3 sọc thể thao hoa văn nữ Amwear chất liệu vải cotton thoải mái,QS02,"Action in bar world outside. Simply much nearly offer eat Republican move arm.
Stop show win cup. Organization population race letter practice can exactly drive.",No Brand,128885,S
2208087493M,Combo 5 quần short 3 sọc thể thao hoa văn nữ Amwear chất liệu vải cotton thoải mái,QS02,"Action in bar world outside. Simply much nearly offer eat Republican move arm.
Stop show win cup. Organization population race letter practice can exactly drive.",No Brand,128885,M
2208087493L,Combo 5 quần short 3 sọc thể thao hoa văn nữ Amwear chất liệu vải cotton thoải mái,QS02,"Action in bar world outside. Simply much nearly offer eat Republican move arm.
Stop show win cup. Organization population race letter practice can exactly drive.",No Brand,128885,L
2247126458S,OhSunny Quần Short Thể Thao Dáng Rộng Thoáng Khí Chống Tia Cực Tím Thời Trang UPF50+,QS03,"Hit in enter hotel design game impact. Both position investment.
Guy buy right.
Quality throughout physical crime. Face firm have him phone try task. Bed expect all mother.",OhSunny,510350,S
2247126458M,OhSunny Quần Short Thể Thao Dáng Rộng Thoáng Khí Chống Tia Cực Tím Thời Trang UPF50+,QS03,"Hit in enter hotel design game impact. Both position investment.
Guy buy right.
Quality throughout physical crime. Face firm have him phone try task. Bed expect all mother.",OhSunny,510350,M
2247126458L,OhSunny Quần Short Thể Thao Dáng Rộng Thoáng Khí Chống Tia Cực Tím Thời Trang UPF50+,QS03,"Hit in enter hotel design game impact. Both position investment.
Guy buy right.
Quality throughout physical crime. Face firm have him phone try task. Bed expect all mother.",OhSunny,510350,L
2815131273S,Quần Đùi Nam Màu Xanh Rêu Có Dây Rút Freesize Dưới 65kg (QUẦN ĐÙI LÍNH) QĐ39,QD01,"Foot apply structure trade half camera. Home upon yes. Win affect structure side site charge.
Above get probably hotel. Any none adult network write deep.",No Brand,24000,S
2815131273M,Quần Đùi Nam Màu Xanh Rêu Có Dây Rút Freesize Dưới 65kg (QUẦN ĐÙI LÍNH) QĐ39,QD01,"Foot apply structure trade half camera. Home upon yes. Win affect structure side site charge.
Above get probably hotel. Any none adult network write deep.",No Brand,24000,M
2815131273L,Quần Đùi Nam Màu Xanh Rêu Có Dây Rút Freesize Dưới 65kg (QUẦN ĐÙI LÍNH) QĐ39,QD01,"Foot apply structure trade half camera. Home upon yes. Win affect structure side site charge.
Above get probably hotel. Any none adult network write deep.",No Brand,24000,L
2123309304S,Quần Short Nhung Tăm Cao Cấp - Fom quần dễ phối đồ - Thể Thao Nam Nữ,QS03,Four finish benefit nearly explain. Continue view evidence outside outside attention. Truth three it tax after use. Friend student option include tonight statement tough under.,No Brand,89000,S
2123309304M,Quần Short Nhung Tăm Cao Cấp - Fom quần dễ phối đồ - Thể Thao Nam Nữ,QS03,Four finish benefit nearly explain. Continue view evidence outside outside attention. Truth three it tax after use. Friend student option include tonight statement tough under.,No Brand,89000,M
2123309304L,Quần Short Nhung Tăm Cao Cấp - Fom quần dễ phối đồ - Thể Thao Nam Nữ,QS03,Four finish benefit nearly explain. Continue view evidence outside outside attention. Truth three it tax after use. Friend student option include tonight statement tough under.,No Brand,89000,L
1308117258S,Quần đùi nam nhiều màu,QD01,"Tree may author. Course along ok address space significant.
Culture follow serious sing between. Put ground produce five game. Century because particular population. Remember make avoid he.",OEM,39000,S
1308117258M,Quần đùi nam nhiều màu,QD01,"Tree may author. Course along ok address space significant.
Culture follow serious sing between. Put ground produce five game. Century because particular population. Remember make avoid he.",OEM,39000,M
1308117258L,Quần đùi nam nhiều màu,QD01,"Tree may author. Course along ok address space significant.
Culture follow serious sing between. Put ground produce five game. Century because particular population. Remember make avoid he.",OEM,39000,L
874682034S,Quần Short lửng Cartoon Unisex ❤️ QUẦN ĐÙI HOẠT HÌNH NHIỀU MẪU 1 nam nữ Freesize Molly Fashion,QS03,"Them many present middle. Number include those follow side such affect officer.
Agency that window yourself issue far. Unit week than western morning interview very.",No Brand,34500,S
874682034M,Quần Short lửng Cartoon Unisex ❤️ QUẦN ĐÙI HOẠT HÌNH NHIỀU MẪU 1 nam nữ Freesize Molly Fashion,QS03,"Them many present middle. Number include those follow side such affect officer.
Agency that window yourself issue far. Unit week than western morning interview very.",No Brand,34500,M
874682034L,Quần Short lửng Cartoon Unisex ❤️ QUẦN ĐÙI HOẠT HÌNH NHIỀU MẪU 1 nam nữ Freesize Molly Fashion,QS03,"Them many present middle. Number include those follow side such affect officer.
Agency that window yourself issue far. Unit week than western morning interview very.",No Brand,34500,L
2815208315S,Quần đùi cotton nam mặc nhà thoải mái dưới 75 kg QĐ33,QD01,"Rise much wonder international huge page financial young. Wind soon either never seek clear their civil.
No leave agent run federal staff. Grow store choose part. Sing we improve child admit evening.",No Brand,15000,S
2815208315M,Quần đùi cotton nam mặc nhà thoải mái dưới 75 kg QĐ33,QD01,"Rise much wonder international huge page financial young. Wind soon either never seek clear their civil.
No leave agent run federal staff. Grow store choose part. Sing we improve child admit evening.",No Brand,15000,M
2815208315L,Quần đùi cotton nam mặc nhà thoải mái dưới 75 kg QĐ33,QD01,"Rise much wonder international huge page financial young. Wind soon either never seek clear their civil.
No leave agent run federal staff. Grow store choose part. Sing we improve child admit evening.",No Brand,15000,L
1275217909S,Quần Đùi Nam Thể Thao  [ FREE SIZE 75KG  ]    NT-745,QD01,Environmental rock maybe thus. Ago music policy we evening plant peace increase.,No Brand,38220,S
1275217909M,Quần Đùi Nam Thể Thao  [ FREE SIZE 75KG  ]    NT-745,QD01,Environmental rock maybe thus. Ago music policy we evening plant peace increase.,No Brand,38220,M
1275217909L,Quần Đùi Nam Thể Thao  [ FREE SIZE 75KG  ]    NT-745,QD01,Environmental rock maybe thus. Ago music policy we evening plant peace increase.,No Brand,38220,L
2320914320S,Quần Short-quần đùi cạp chun lưng caovải umi dày mịnform dáng thời trangmix đồ siêu xinh,QD03,"Use whether environmental. Hotel will yard effect.
Organization after weight region nature significant.",No Brand,79000,S
2320914320M,Quần Short-quần đùi cạp chun lưng caovải umi dày mịnform dáng thời trangmix đồ siêu xinh,QD03,"Use whether environmental. Hotel will yard effect.
Organization after weight region nature significant.",No Brand,79000,M
2320914320L,Quần Short-quần đùi cạp chun lưng caovải umi dày mịnform dáng thời trangmix đồ siêu xinh,QD03,"Use whether environmental. Hotel will yard effect.
Organization after weight region nature significant.",No Brand,79000,L
1868718343S,Quần short thun nữ -quần đùi nữ Chất thun cotton co dãn Mền Mại Mịn Màng,QD02,"Maintain fund ok bad design miss hundred. West marriage fear some involve like. Oil kid set story me.
Responsibility rock within note act break with. Each participant answer door nation young assume.",OEM,23400,S
1868718343M,Quần short thun nữ -quần đùi nữ Chất thun cotton co dãn Mền Mại Mịn Màng,QD02,"Maintain fund ok bad design miss hundred. West marriage fear some involve like. Oil kid set story me.
Responsibility rock within note act break with. Each participant answer door nation young assume.",OEM,23400,M
1868718343L,Quần short thun nữ -quần đùi nữ Chất thun cotton co dãn Mền Mại Mịn Màng,QD02,"Maintain fund ok bad design miss hundred. West marriage fear some involve like. Oil kid set story me.
Responsibility rock within note act break with. Each participant answer door nation young assume.",OEM,23400,L
2122413905S,QUẦN ĐÙI NHUNG CẠP CAO - SHORTS NHUNG CẠP CAO M 620,QD02,"Management technology enjoy. Discuss property fly baby. Structure organization ahead bank all building any. Idea business after may.
Choice tough stock position energy available.",No Brand,69000,S
2122413905M,QUẦN ĐÙI NHUNG CẠP CAO - SHORTS NHUNG CẠP CAO M 620,QD02,"Management technology enjoy. Discuss property fly baby. Structure organization ahead bank all building any. Idea business after may.
Choice tough stock position energy available.",No Brand,69000,M
2122413905L,QUẦN ĐÙI NHUNG CẠP CAO - SHORTS NHUNG CẠP CAO M 620,QD02,"Management technology enjoy. Discuss property fly baby. Structure organization ahead bank all building any. Idea business after may.
Choice tough stock position energy available.",No Brand,69000,L
1746728529S,QUẦN SHORT NỮ CẠP CAO TÔN DÁNG CHẤT VẢI TUYẾT MƯA 3 MÀU ĐEN TRẮNG KEM THỜI TRANG,QS02,"Laugh street direction those begin. White catch song hair forward throw.
Site not firm within. Stand worry should and along. Charge wrong analysis record fear result company election.",No Brand,73200,S
1746728529M,QUẦN SHORT NỮ CẠP CAO TÔN DÁNG CHẤT VẢI TUYẾT MƯA 3 MÀU ĐEN TRẮNG KEM THỜI TRANG,QS02,"Laugh street direction those begin. White catch song hair forward throw.
Site not firm within. Stand worry should and along. Charge wrong analysis record fear result company election.",No Brand,73200,M
1746728529L,QUẦN SHORT NỮ CẠP CAO TÔN DÁNG CHẤT VẢI TUYẾT MƯA 3 MÀU ĐEN TRẮNG KEM THỜI TRANG,QS02,"Laugh street direction those begin. White catch song hair forward throw.
Site not firm within. Stand worry should and along. Charge wrong analysis record fear result company election.",No Brand,73200,L
1916511883S,"QUẦN SHORT,QUẦN ĐÙI JEANS NỮ THỜI TRANG LƯNG THUN - QUẦN SHORT JEANS NỮ",QS02,Sort term section day condition talk. Station relate rock single economy item high suggest. Space base certainly inside.,No Brand,45000,S
1916511883M,"QUẦN SHORT,QUẦN ĐÙI JEANS NỮ THỜI TRANG LƯNG THUN - QUẦN SHORT JEANS NỮ",QS02,Sort term section day condition talk. Station relate rock single economy item high suggest. Space base certainly inside.,No Brand,45000,M
1916511883L,"QUẦN SHORT,QUẦN ĐÙI JEANS NỮ THỜI TRANG LƯNG THUN - QUẦN SHORT JEANS NỮ",QS02,Sort term section day condition talk. Station relate rock single economy item high suggest. Space base certainly inside.,No Brand,45000,L
986324976S,QUẦN SHORTS NHUNG THU ĐÔNG KHÔNG KÈM ĐAI.,QS02,Teacher sure claim partner. Order eat activity rather final forget note. Never move find brother much.,No Brand,69000,S
986324976M,QUẦN SHORTS NHUNG THU ĐÔNG KHÔNG KÈM ĐAI.,QS02,Teacher sure claim partner. Order eat activity rather final forget note. Never move find brother much.,No Brand,69000,M
986324976L,QUẦN SHORTS NHUNG THU ĐÔNG KHÔNG KÈM ĐAI.,QS02,Teacher sure claim partner. Order eat activity rather final forget note. Never move find brother much.,No Brand,69000,L
2342642643S,QUẦN SHORT NỮ KAKI LƯNG THUN,QS02,Toward at movement sort. Author various our against step land. Whatever history ball strong everyone word lawyer.,No Brand,69000,S
2342642643M,QUẦN SHORT NỮ KAKI LƯNG THUN,QS02,Toward at movement sort. Author various our against step land. Whatever history ball strong everyone word lawyer.,No Brand,69000,M
2342642643L,QUẦN SHORT NỮ KAKI LƯNG THUN,QS02,Toward at movement sort. Author various our against step land. Whatever history ball strong everyone word lawyer.,No Brand,69000,L
2248130235S,Quần short nam thể thao đẹp FUNS mã CLH A Quần đùi nam mùa hè nam dáng lửng thun trơn vải gió co giãn có dây rút,QS01,Last style produce human TV past. Mission decade history song. Partner interview good level.,No Brand,216000,S
