ID,ProductID,ImportQuantity,Date
91,114093966S,79,2024-01-10
92,114093966M,66,2023-03-11
93,114093966L,24,2024-09-11
94,114083211S,42,2024-05-11
95,114083211M,60,2023-11-18
96,114083211L,28,2024-01-15
97,115997956S,99,2024-03-27
98,115997956M,72,2023-04-07
99,115997956L,5,2024-04-09
100,115997961S,64,2024-07-19
101,115997961M,23,2023-05-25
102,115997961L,10,2024-02-02
103,114113499S,39,2024-05-27
104,114113499M,32,2024-01-31
105,114113499L,98,2023-06-07
106,115265465S,42,2023-04-25
107,115265465M,97,2024-09-22
108,115265465L,86,2024-08-20
109,115265437S,88,2024-10-09
110,115265437M,52,2024-10-20
111,115265437L,95,2024-03-20
112,115265605S,70,2023-06-14
113,115265605M,90,2024-12-11
114,115265605L,91,2024-10-27
115,115265614S,38,2024-07-14
116,115265614M,59,2024-06-26
117,115265614L,66,2023-12-02
118,114159237S,56,2024-12-20
119,114159237M,24,2023-09-23
120,114159237L,47,2024-01-14
121,114230081S,100,2023-08-17
122,114230081M,54,2024-06-18
123,114230081L,27,2024-11-02
124,114081563S,67,2024-11-24
125,114081563M,21,2023-09-27
126,114081563L,16,2023-04-12
127,114086406S,22,2023-06-07
128,114086406M,67,2024-10-25
129,114086406L,6,2023-05-14
130,114149840S,34,2024-05-08
131,114149840M,46,2024-05-08
132,114149840L,18,2024-08-27
133,114086296S,87,2024-07-11
134,114086296M,9,2023-10-29
135,114086296L,45,2024-12-15
136,114159201S,16,2024-08-20
137,114159201M,92,2023-09-14
138,114159201L,62,2024-11-25
139,115998371S,28,2024-05-20
140,115998371M,84,2023-07-01
141,115998371L,27,2023-12-19
142,114159642S,36,2025-02-06
143,114159642M,88,2024-04-15
144,114159642L,39,2023-06-11
145,95123172S,9,2024-12-17
146,95123172M,5,2024-06-24
147,95123172L,85,2023-10-07
148,95016880S,86,2024-12-16
149,95016880M,48,2023-04-16
150,95016880L,89,2024-06-14
151,114081608S,88,2023-06-10
152,114081608M,67,2023-06-28
153,114081608L,31,2023-10-11
154,114149822S,76,2024-12-13
155,114149822M,36,2023-09-11
156,114149822L,18,2023-10-26
157,114048352S,94,2023-12-21
158,114048352M,55,2024-04-03
159,114048352L,86,2023-03-10
160,114035255S,17,2024-11-22
161,114035255M,91,2023-07-06
162,114035255L,2,2023-03-27
163,95016869S,20,2023-05-05
164,95016869M,85,2024-03-25
165,95016869L,37,2024-12-18
166,87873930S,4,2023-09-23
167,87873930M,96,2024-05-31
168,87873930L,95,2024-10-24
169,87861924S,89,2024-04-27
170,87861924M,47,2023-07-25
171,87861924L,27,2023-09-09
172,87848007S,59,2023-10-02
173,87848007M,54,2023-08-04
174,87848007L,87,2023-09-06
175,94739926S,65,2023-12-28
176,94739926M,96,2024-07-04
177,94739926L,90,2023-11-03
178,95014429S,52,2024-03-02
179,95014429M,57,2023-12-28
180,95014429L,1,2023-10-15
181,119236199S,65,2024-09-15
182,119236199M,57,2024-01-21
183,119236199L,5,2024-11-10
184,119238068S,30,2023-03-26
185,119238068M,8,2023-06-18
186,119238068L,12,2024-07-11
187,119226496S,20,2023-10-20
188,119226496M,19,2023-04-03
189,119226496L,1,2023-04-17
190,119230222S,54,2024-06-22
191,119230222M,10,2024-05-17
192,119230222L,51,2024-03-31
193,119230253S,88,2024-12-25
194,119230253M,33,2023-10-28
195,119230253L,54,2023-09-14
196,119217278S,29,2024-06-06
197,119217278M,36,2025-02-22
198,119217278L,2,2024-02-18
199,119231216S,32,2023-12-08
200,119231216M,40,2023-07-01
201,119231216L,2,2023-12-15
202,117836743S,39,2023-05-16
203,117836743M,83,2023-07-20
204,117836743L,60,2023-08-26
205,117853116S,69,2023-03-23
206,117853116M,72,2023-08-31
207,117853116L,94,2023-07-29
208,117848291S,3,2023-02-27
209,117848291M,84,2023-07-13
210,117848291L,28,2023-03-31
211,117851511S,95,2023-12-06
212,117851511M,63,2023-11-28
213,117851511L,63,2023-07-16
214,117848204S,66,2024-12-20
215,117848204M,98,2024-12-20
216,117848204L,87,2023-12-04
217,117849948S,77,2024-03-14
218,117849948M,83,2024-12-25
219,117849948L,59,2024-03-17
220,117857365S,47,2024-05-12
221,117857365M,14,2023-09-27
222,117857365L,31,2023-05-04
223,117849140S,18,2024-05-23
224,117849140M,6,2023-10-14
225,117849140L,46,2024-05-09
226,117847175S,95,2024-03-01
227,117847175M,77,2025-01-24
228,117847175L,99,2024-12-08
229,117848968S,81,2024-09-23
230,117848968M,90,2023-06-04
231,117848968L,95,2025-01-23
232,117854857S,29,2025-01-26
233,117854857M,51,2024-12-27
234,117854857L,60,2024-01-26
235,117849108S,65,2024-01-03
236,117849108M,12,2023-11-15
237,117849108L,14,2023-03-18
238,118367675S,88,2024-09-14
239,118367675M,24,2024-05-19
240,118367675L,10,2023-05-27
241,117835605S,56,2024-05-08
242,117835605M,63,2023-11-29
243,117835605L,68,2024-01-24
244,117835615S,21,2024-03-09
245,117835615M,42,2023-05-13
246,117835615L,76,2025-01-04
247,117869481S,90,2024-07-26
248,117869481M,25,2024-02-12
249,117869481L,43,2023-08-14
250,117869485S,63,2024-09-03
251,117869485M,4,2024-06-05
252,117869485L,58,2023-07-25
253,117087457S,35,2023-06-14
254,117087457M,94,2023-06-06
255,117087457L,39,2025-02-09
256,116648644S,38,2023-08-11
257,116648644M,77,2023-12-19
258,116648644L,17,2024-01-25
259,116541017S,78,2023-10-05
260,116541017M,89,2023-07-21
261,116541017L,90,2023-11-12
262,119379946S,34,2023-03-26
263,119379946M,44,2024-09-10
264,119379946L,18,2024-03-05
265,119286038S,59,2023-07-30
266,119286038M,52,2023-10-25
267,119286038L,53,2024-02-16
268,118947479S,54,2024-12-12
269,118947479M,23,2023-05-25
270,118947479L,50,2023-12-07
