ID,CustomerID,TotalPrice,Date,paymentMethod,PlatformID
DH078,KH044,232780.00,2024-01-23,momo,TIKI
DH079,KH020,904092.00,2023-07-02,credit_card,SENDO
DH080,KH025,633872.00,2024-09-12,cash,SENDO
DH081,KH004,658087.00,2023-10-17,momo,SENDO
DH082,KH035,191935.00,2024-02-06,cash,LAZADA
DH083,KH022,241860.00,2023-12-19,cash,TIKI
DH084,KH005,828848.00,2024-11-22,cash,TIKI
DH085,KH024,423332.00,2023-12-11,momo,TIKI
DH086,KH045,282147.00,2024-08-07,momo,LAZADA
DH087,KH030,955685.00,2024-02-26,momo,TIKI
DH088,KH011,550685.00,2025-02-05,credit_card,TIKI
DH089,KH016,328925.00,2025-01-28,credit_card,SENDO
DH090,KH031,916175.00,2023-03-10,cash,TIKI
DH091,KH019,591805.00,2025-01-19,momo,SENDO
DH092,KH013,356150.00,2023-06-13,credit_card,LAZADA
DH093,KH021,778243.00,2023-12-26,cash,LAZADA
DH094,KH001,967268.00,2023-03-17,cash,TIKI
DH095,KH010,450285.00,2024-12-28,credit_card,SENDO
DH096,KH037,702752.00,2024-12-08,cash,LAZADA
DH097,KH039,692610.00,2024-09-09,credit_card,SENDO
DH098,KH015,931991.00,2025-01-24,credit_card,TIKI
DH099,KH015,543890.00,2024-08-23,momo,LAZADA
DH100,KH011,709804.00,2024-02-09,momo,LAZADA
