ID,PromoName,ProductID,Discount_rate,DateStart,DateEnd,PlatformID
64,Employee who entire.,199268671G41,49.8,2024-09-18,2024-10-14,
65,Notice.,273056815G41,39.08,2024-10-30,2024-11-12,
66,Hundred become line.,210138611G39,27.13,2024-11-17,2024-12-13,
67,Certainly.,277306138G40,32.06,2024-11-11,2024-11-18,
68,Understand store.,277287666G40,27.8,2024-06-05,2024-06-23,
69,Every dog way.,274457345G41,30.67,2024-09-10,2024-09-21,
70,Whole affect stage.,197295730G39,16.46,2024-08-08,2024-09-04,
71,Animal how report.,273056749G41,26.33,2024-05-18,2024-06-05,
72,Congress play investment.,209125761G41,33.36,2024-08-07,2024-08-18,
73,Job century note.,276006462G40,48.45,2024-10-27,2024-11-19,
74,Source bank.,171202909G40,40.78,2024-06-12,2024-07-02,
75,Knowledge need company.,275911002G41,24.4,2024-04-01,2024-04-25,
76,Lose always modern.,273804988G40,21.27,2024-09-29,2024-10-20,
77,Ok difference.,203478154G39,45.91,2024-05-22,2024-06-05,
78,Similar page.,76125664G39,20.13,2024-06-30,2024-07-26,
79,Option many human.,274838759G40,11.42,2024-06-01,2024-06-18,
80,Stand force still.,182849278G39,5.46,2024-11-30,2024-12-08,
81,Party win.,66566234G40,12.91,2024-05-24,2024-06-01,
82,Water speak.,273620894G39,46.67,2024-06-05,2024-06-25,
83,Alone good member still.,208885993G40,11.8,2024-05-05,2024-05-28,
84,Why big listen.,273366771G39,28.07,2025-01-05,2025-01-20,
85,Give matter blood.,274256927G40,30.49,2024-12-15,2025-01-10,
86,Party main.,263093240G39,44.99,2024-09-12,2024-10-07,
87,Part participant member.,273685743G41,32.54,2024-07-19,2024-08-08,
88,First television.,273679403G40,14.57,2024-10-29,2024-11-22,
89,Successful view yeah nearly.,273366771G39,39.55,2024-09-30,2024-10-20,
90,Throughout read many.,217759811G41,25.64,2024-06-07,2024-06-28,
91,Child thing.,23611674G39,37.39,2024-12-14,2025-01-04,
92,Author personal story.,36926828G40,27.99,2024-06-06,2024-06-23,
93,Address put different.,189289457G41,6.04,2025-01-23,2025-02-20,
94,Plan owner long.,112826952G39,23.74,2024-05-31,2024-06-12,
95,Condition measure eat.,206952681G41,22.88,2024-07-08,2024-08-07,
96,Set history buy.,21060817G40,19.33,2024-04-23,2024-05-23,
97,Form box.,276113601G39,28.63,2024-06-29,2024-07-20,
98,Similar million.,274046223G39,48.34,2025-01-31,2025-02-22,
99,Economy address.,57734293G40,41.83,2024-05-16,2024-05-25,
