product_id,rating,review_text,date,customer_id,platform_id
271961300G41,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-10-12,KH032,LAZADA
2263996359M,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-05-16,KH021,LAZADA
1629391609L,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-11-03,KH036,LAZADA
112960663G41,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-02-23,KH047,TIKI
271434319G41,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2023-04-18,KH034,SENDO
276098607G39,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-12-27,KH034,TIKI
2815131273L,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2025-01-09,KH014,SENDO
274347242G39,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-06-02,KH035,TIKI
118947479L,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2023-04-16,KH032,SENDO
177617351G39,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-12-07,KH014,LAZADA
253149207G40,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2025-02-15,KH030,TIKI
275825501G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-12-31,KH048,LAZADA
119226496M,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-05-03,KH012,LAZADA
197296058G41,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-11-11,KH007,LAZADA
276113601G39,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-03-01,KH036,SENDO
117835605M,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-10-11,KH007,SENDO
2208087493S,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-03-21,KH004,SENDO
21060817G40,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-11-30,KH017,SENDO
1975533492S,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-06-09,KH037,LAZADA
275134006G39,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-07-18,KH042,SENDO
2375819829S,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2025-01-20,KH024,SENDO
119238068L,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-04-01,KH021,SENDO
117851511M,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-11-17,KH023,TIKI
245773108G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-11-26,KH030,TIKI
1350286300L,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-03-31,KH015,TIKI
1950100527S,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2023-08-15,KH023,LAZADA
80789610G41,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-05-21,KH026,LAZADA
2846273840S,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-01-27,KH007,LAZADA
195283840G39,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-08-09,KH015,LAZADA
2234675504L,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-09-07,KH020,SENDO
274256901G39,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-03-26,KH032,LAZADA
1916511883M,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-09-08,KH050,SENDO
119418239M,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-10-14,KH023,TIKI
117773345S,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-07-19,KH001,LAZADA
119238068L,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-01-17,KH010,LAZADA
95014429S,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-11-17,KH023,SENDO
245773289G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-05-30,KH025,LAZADA
189267954G41,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2025-01-01,KH012,LAZADA
72309207G41,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-07-25,KH038,SENDO
119272915S,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-09-28,KH023,LAZADA
2983375513S,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-01-02,KH032,SENDO
208783711G39,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-07-24,KH040,LAZADA
194568564G39,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-08-26,KH014,TIKI
273056815G41,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-03-30,KH041,SENDO
273861366G39,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-01-01,KH002,LAZADA
276187640G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-11-10,KH023,SENDO
217759811G41,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2023-06-18,KH017,SENDO
274256901G39,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2025-01-15,KH006,TIKI
117849140M,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-10-20,KH050,SENDO
277284190G40,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-06-25,KH001,LAZADA
274256903G41,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-04-23,KH015,SENDO
2208087493S,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-11-04,KH019,LAZADA
273837581G40,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-04-22,KH043,SENDO
119272629L,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-07-22,KH016,SENDO
172565550G39,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-11-26,KH027,LAZADA
2589764200L,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-10-28,KH040,SENDO
2838020940L,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-06-19,KH045,LAZADA
274838759G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2025-02-26,KH036,TIKI
114159642L,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-11-07,KH032,SENDO
276561881G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-04-28,KH049,TIKI
153564031G41,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-05-19,KH003,LAZADA
8005161G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-06-09,KH020,TIKI
42685603G41,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-12-24,KH040,TIKI
195528889G40,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-02-14,KH046,SENDO
2861934671M,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-04-18,KH023,LAZADA
1746737863M,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-02-13,KH047,LAZADA
115998371S,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-09-26,KH045,LAZADA
277013723G39,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-03-02,KH036,LAZADA
203478154G39,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2023-05-12,KH039,LAZADA
87861924M,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-05-31,KH041,SENDO
114086296M,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-12-03,KH026,SENDO
200736377G41,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-08-30,KH035,LAZADA
155751830G39,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-10-11,KH008,SENDO
119238068M,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-05-02,KH007,SENDO
2248065468M,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-12-12,KH023,LAZADA
1612351531S,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-06-22,KH031,TIKI
276006183G41,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-05-02,KH025,TIKI
251396215G39,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-05-23,KH044,LAZADA
117843902S,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-09-06,KH041,SENDO
